filename,clean_file,noise_type,target_snr_db,actual_snr_db
speech_004__hum__snr5.wav,speech_004.wav,hum,5,5.0
speech_004__hum__snr10.wav,speech_004.wav,hum,10,10.0
speech_004__hum__snr15.wav,speech_004.wav,hum,15,15.0
speech_004__hum__snr20.wav,speech_004.wav,hum,20,20.0
speech_004__impulsive__snr-5.wav,speech_004.wav,impulsive,-5,-5.0
speech_004__impulsive__snr0.wav,speech_004.wav,impulsive,0,0.0
speech_004__impulsive__snr5.wav,speech_004.wav,impulsive,5,5.0
speech_004__impulsive__snr10.wav,speech_004.wav,impulsive,10,10.0
speech_004__impulsive__snr15.wav,speech_004.wav,impulsive,15,15.0
speech_004__impulsive__snr20.wav,speech_004.wav,impulsive,20,20.0
speech_005__white__snr-5.wav,speech_005.wav,white,-5,-5.0
speech_005__white__snr0.wav,speech_005.wav,white,0,0.0
speech_005__white__snr5.wav,speech_005.wav,white,5,5.0
speech_005__white__snr10.wav,speech_005.wav,white,10,10.0
speech_005__white__snr15.wav,speech_005.wav,white,15,15.0
speech_005__white__snr20.wav,speech_005.wav,white,20,20.0
speech_005__pink__snr-5.wav,speech_005.wav,pink,-5,-5.0
speech_005__pink__snr0.wav,speech_005.wav,pink,0,0.0
speech_005__pink__snr5.wav,speech_005.wav,pink,5,5.0
speech_005__pink__snr10.wav,speech_005.wav,pink,10,10.0
speech_005__pink__snr15.wav,speech_005.wav,pink,15,15.0
speech_005__pink__snr20.wav,speech_005.wav,pink,20,20.0
speech_005__hum__snr-5.wav,speech_005.wav,hum,-5,-5.0
speech_005__hum__snr0.wav,speech_005.wav,hum,0,0.0
speech_005__hum__snr5.wav,speech_005.wav,hum,5,5.0
speech_005__hum__snr10.wav,speech_005.wav,hum,10,10.0
speech_005__hum__snr15.wav,speech_005.wav,hum,15,15.0
speech_005__hum__snr20.wav,speech_005.wav,hum,20,20.0
speech_005__impulsive__snr-5.wav,speech_005.wav,impulsive,-5,-5.0
speech_005__impulsive__snr0.wav,speech_005.wav,impulsive,0,0.0
speech_005__impulsive__snr5.wav,speech_005.wav,impulsive,5,5.0
speech_005__impulsive__snr10.wav,speech_005.wav,impulsive,10,10.0
speech_005__impulsive__snr15.wav,speech_005.wav,impulsive,15,15.0
speech_005__impulsive__snr20.wav,speech_005.wav,impulsive,20,20.0
speech_006__white__snr-5.wav,speech_006.wav,white,-5,-5.0
speech_006__white__snr0.wav,speech_006.wav,white,0,0.0
speech_006__white__snr5.wav,speech_006.wav,white,5,5.0
speech_006__white__snr10.wav,speech_006.wav,white,10,10.0
speech_006__white__snr15.wav,speech_006.wav,white,15,15.0
speech_006__white__snr20.wav,speech_006.wav,white,20,20.0
speech_006__pink__snr-5.wav,speech_006.wav,pink,-5,-5.0
speech_006__pink__snr0.wav,speech_006.wav,pink,0,-0.0
speech_006__pink__snr5.wav,speech_006.wav,pink,5,5.0
speech_006__pink__snr10.wav,speech_006.wav,pink,10,10.0
speech_006__pink__snr15.wav,speech_006.wav,pink,15,15.0
speech_006__pink__snr20.wav,speech_006.wav,pink,20,20.0
speech_006__hum__snr-5.wav,speech_006.wav,hum,-5,-5.0
speech_006__hum__snr0.wav,speech_006.wav,hum,0,0.0
speech_006__hum__snr5.wav,speech_006.wav,hum,5,5.0
speech_006__hum__snr10.wav,speech_006.wav,hum,10,10.0
speech_006__hum__snr15.wav,speech_006.wav,hum,15,15.0
speech_006__hum__snr20.wav,speech_006.wav,hum,20,20.0
speech_006__impulsive__snr-5.wav,speech_006.wav,impulsive,-5,-5.0
speech_006__impulsive__snr0.wav,speech_006.wav,impulsive,0,0.0
speech_006__impulsive__snr5.wav,speech_006.wav,impulsive,5,5.0
speech_006__impulsive__snr10.wav,speech_006.wav,impulsive,10,10.0
speech_006__impulsive__snr15.wav,speech_006.wav,impulsive,15,15.0
speech_006__impulsive__snr20.wav,speech_006.wav,impulsive,20,20.0
speech_007__white__snr-5.wav,speech_007.wav,white,-5,-5.0
speech_007__white__snr0.wav,speech_007.wav,white,0,0.0
speech_007__white__snr5.wav,speech_007.wav,white,5,5.0
speech_007__white__snr10.wav,speech_007.wav,white,10,10.0
speech_007__white__snr15.wav,speech_007.wav,white,15,15.0
speech_007__white__snr20.wav,speech_007.wav,white,20,20.0
speech_007__pink__snr-5.wav,speech_007.wav,pink,-5,-5.0
speech_007__pink__snr0.wav,speech_007.wav,pink,0,-0.0
speech_007__pink__snr5.wav,speech_007.wav,pink,5,5.0
speech_007__pink__snr10.wav,speech_007.wav,pink,10,10.0
speech_007__pink__snr15.wav,speech_007.wav,pink,15,15.0
speech_007__pink__snr20.wav,speech_007.wav,pink,20,20.0
speech_007__hum__snr-5.wav,speech_007.wav,hum,-5,-5.0
speech_007__hum__snr0.wav,speech_007.wav,hum,0,0.0
speech_007__hum__snr5.wav,speech_007.wav,hum,5,5.0
speech_007__hum__snr10.wav,speech_007.wav,hum,10,10.0
speech_007__hum__snr15.wav,speech_007.wav,hum,15,15.0
speech_007__hum__snr20.wav,speech_007.wav,hum,20,20.0
speech_007__impulsive__snr-5.wav,speech_007.wav,impulsive,-5,-5.0
speech_007__impulsive__snr0.wav,speech_007.wav,impulsive,0,0.0
speech_007__impulsive__snr5.wav,speech_007.wav,impulsive,5,5.0
speech_007__impulsive__snr10.wav,speech_007.wav,impulsive,10,10.0
speech_007__impulsive__snr15.wav,speech_007.wav,impulsive,15,15.0
speech_007__impulsive__snr20.wav,speech_007.wav,impulsive,20,20.0
speech_008__white__snr-5.wav,speech_008.wav,white,-5,-5.0
speech_008__white__snr0.wav,speech_008.wav,white,0,0.0
speech_008__white__snr5.wav,speech_008.wav,white,5,5.0
speech_008__white__snr10.wav,speech_008.wav,white,10,10.0
speech_008__white__snr15.wav,speech_008.wav,white,15,15.0
speech_008__white__snr20.wav,speech_008.wav,white,20,20.0
speech_008__pink__snr-5.wav,speech_008.wav,pink,-5,-5.0
speech_008__pink__snr0.wav,speech_008.wav,pink,0,-0.0
speech_008__pink__snr5.wav,speech_008.wav,pink,5,5.0
speech_008__pink__snr10.wav,speech_008.wav,pink,10,10.0
speech_008__pink__snr15.wav,speech_008.wav,pink,15,15.0
speech_008__pink__snr20.wav,speech_008.wav,pink,20,20.0
speech_008__hum__snr-5.wav,speech_008.wav,hum,-5,-5.0
speech_008__hum__snr0.wav,speech_008.wav,hum,0,0.0
speech_008__hum__snr5.wav,speech_008.wav,hum,5,5.0
speech_008__hum__snr10.wav,speech_008.wav,hum,10,10.0
speech_008__hum__snr15.wav,speech_008.wav,hum,15,15.0
speech_008__hum__snr20.wav,speech_008.wav,hum,20,20.0
speech_008__impulsive__snr-5.wav,speech_008.wav,impulsive,-5,-5.0
speech_008__impulsive__snr0.wav,speech_008.wav,impulsive,0,-0.0
speech_008__impulsive__snr5.wav,speech_008.wav,impulsive,5,5.0
speech_008__impulsive__snr10.wav,speech_008.wav,impulsive,10,10.0
speech_008__impulsive__snr15.wav,speech_008.wav,impulsive,15,15.0
speech_008__impulsive__snr20.wav,speech_008.wav,impulsive,20,20.0
speech_009__white__snr-5.wav,speech_009.wav,white,-5,-5.0
speech_009__white__snr0.wav,speech_009.wav,white,0,0.0
speech_009__white__snr5.wav,speech_009.wav,white,5,5.0
speech_009__white__snr10.wav,speech_009.wav,white,10,10.0
speech_009__white__snr15.wav,speech_009.wav,white,15,15.0
speech_009__white__snr20.wav,speech_009.wav,white,20,20.0
speech_009__pink__snr-5.wav,speech_009.wav,pink,-5,-5.0
speech_009__pink__snr0.wav,speech_009.wav,pink,0,0.0
speech_009__pink__snr5.wav,speech_009.wav,pink,5,5.0
speech_009__pink__snr10.wav,speech_009.wav,pink,10,10.0
speech_009__pink__snr15.wav,speech_009.wav,pink,15,15.0
speech_009__pink__snr20.wav,speech_009.wav,pink,20,20.0
speech_009__hum__snr-5.wav,speech_009.wav,hum,-5,-5.0
speech_009__hum__snr0.wav,speech_009.wav,hum,0,-0.0
speech_009__hum__snr5.wav,speech_009.wav,hum,5,5.0
speech_009__hum__snr10.wav,speech_009.wav,hum,10,10.0
speech_009__hum__snr15.wav,speech_009.wav,hum,15,15.0
speech_009__hum__snr20.wav,speech_009.wav,hum,20,20.0
speech_009__impulsive__snr-5.wav,speech_009.wav,impulsive,-5,-5.0
speech_009__impulsive__snr0.wav,speech_009.wav,impulsive,0,0.0
speech_009__impulsive__snr5.wav,speech_009.wav,impulsive,5,5.0
speech_009__impulsive__snr10.wav,speech_009.wav,impulsive,10,10.0
speech_009__impulsive__snr15.wav,speech_009.wav,impulsive,15,15.0
speech_009__impulsive__snr20.wav,speech_009.wav,impulsive,20,20.0
speech_010__white__snr-5.wav,speech_010.wav,white,-5,-5.0
speech_010__white__snr0.wav,speech_010.wav,white,0,0.0
speech_010__white__snr5.wav,speech_010.wav,white,5,5.0
speech_010__white__snr10.wav,speech_010.wav,white,10,10.0
speech_010__white__snr15.wav,speech_010.wav,white,15,15.0
speech_010__white__snr20.wav,speech_010.wav,white,20,20.0
speech_010__pink__snr-5.wav,speech_010.wav,pink,-5,-5.0
speech_010__pink__snr0.wav,speech_010.wav,pink,0,-0.0
speech_010__pink__snr5.wav,speech_010.wav,pink,5,5.0
speech_010__pink__snr10.wav,speech_010.wav,pink,10,10.0
speech_010__pink__snr15.wav,speech_010.wav,pink,15,15.0
speech_010__pink__snr20.wav,speech_010.wav,pink,20,20.0
speech_010__hum__snr-5.wav,speech_010.wav,hum,-5,-5.0
speech_010__hum__snr0.wav,speech_010.wav,hum,0,0.0
speech_010__hum__snr5.wav,speech_010.wav,hum,5,5.0
speech_010__hum__snr10.wav,speech_010.wav,hum,10,10.0
speech_010__hum__snr15.wav,speech_010.wav,hum,15,15.0
speech_010__hum__snr20.wav,speech_010.wav,hum,20,20.0
speech_010__impulsive__snr-5.wav,speech_010.wav,impulsive,-5,-5.0
speech_010__impulsive__snr0.wav,speech_010.wav,impulsive,0,0.0
speech_010__impulsive__snr5.wav,speech_010.wav,impulsive,5,5.0
speech_010__impulsive__snr10.wav,speech_010.wav,impulsive,10,10.0
speech_010__impulsive__snr15.wav,speech_010.wav,impulsive,15,15.0
speech_010__impulsive__snr20.wav,speech_010.wav,impulsive,20,20.0
