filename,clean_file,duration_s,base_snr_db,event_type,events_json
speech_009__dynamic__v00__impulse.wav,speech_009.wav,24.037,10,impulse,"[{""type"": ""impulse"", ""background_noise"": ""ch09"", ""impulse_times_s"": [7.913375, 21.51025], ""background_snr_db"": 15}]"
speech_009__dynamic__v01__switch.wav,speech_009.wav,24.037,-5,switch,"[{""type"": ""switch"", ""noise_a"": ""impulsive"", ""noise_b"": ""ch07"", ""change_s"": 8.2990625, ""snr_db"": -5}]"
speech_009__dynamic__v02__onset.wav,speech_009.wav,24.037,5,onset,"[{""type"": ""onset"", ""noise"": ""impulsive"", ""start_s"": 0.0, ""end_s"": 24.037, ""change_s"": 13.086, ""snr_before_db"": 10, ""snr_after_db"": 5}]"
speech_009__dynamic__v03__onset.wav,speech_009.wav,24.037,15,onset,"[{""type"": ""onset"", ""noise"": ""ch13"", ""start_s"": 0.0, ""end_s"": 24.037, ""change_s"": 10.6323125, ""snr_before_db"": 20, ""snr_after_db"": 15}]"
speech_009__dynamic__v04__impulse.wav,speech_009.wav,24.037,15,impulse,"[{""type"": ""impulse"", ""background_noise"": ""impulsive"", ""impulse_times_s"": [2.2745625, 22.282125, 17.026875], ""background_snr_db"": 20}]"
speech_009__dynamic__v05__impulse.wav,speech_009.wav,24.037,5,impulse,"[{""type"": ""impulse"", ""background_noise"": ""ch13"", ""impulse_times_s"": [8.284125, 6.1898125, 3.0351875], ""background_snr_db"": 10}]"
speech_010__dynamic__v00__switch.wav,speech_010.wav,61.237,15,switch,"[{""type"": ""switch"", ""noise_a"": ""impulsive"", ""noise_b"": ""ch05"", ""change_s"": 37.361125, ""snr_db"": 15}]"
speech_010__dynamic__v01__snr_ramp.wav,speech_010.wav,61.237,0,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch14"", ""segments"": [{""start_s"": 0.0, ""end_s"": 15.30925, ""snr_db"": 10}, {""start_s"": 15.30925, ""end_s"": 30.6185, ""snr_db"": 5}, {""start_s"": 30.6185, ""end_s"": 45.92775, ""snr_db"": -5}, {""start_s"": 45.92775, ""end_s"": 61.237, ""snr_db"": 0}]}]"
speech_010__dynamic__v02__multi.wav,speech_010.wav,61.237,-5,multi,"[{""type"": ""multi"", ""noise_a"": ""pink"", ""noise_b"": ""ch01"", ""second_start_s"": 25.7215625, ""snr_a_db"": -2, ""snr_combined_target_db"": -5}]"
speech_010__dynamic__v03__snr_ramp.wav,speech_010.wav,61.237,10,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch14"", ""segments"": [{""start_s"": 0.0, ""end_s"": 15.30925, ""snr_db"": 20}, {""start_s"": 15.30925, ""end_s"": 30.6185, ""snr_db"": 15}, {""start_s"": 30.6185, ""end_s"": 45.92775, ""snr_db"": 5}, {""start_s"": 45.92775, ""end_s"": 61.237, ""snr_db"": 10}]}]"
speech_010__dynamic__v04__snr_ramp.wav,speech_010.wav,61.237,10,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""hum"", ""segments"": [{""start_s"": 0.0, ""end_s"": 15.30925, ""snr_db"": 20}, {""start_s"": 15.30925, ""end_s"": 30.6185, ""snr_db"": 15}, {""start_s"": 30.6185, ""end_s"": 45.92775, ""snr_db"": 5}, {""start_s"": 45.92775, ""end_s"": 61.237, ""snr_db"": 10}]}]"
speech_010__dynamic__v05__impulse.wav,speech_010.wav,61.237,-5,impulse,"[{""type"": ""impulse"", ""background_noise"": ""impulsive"", ""impulse_times_s"": [29.2830625, 54.8504375], ""background_snr_db"": 0}]"
